epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62519,1.34112,2.65535,1.43578,0.72916,0.65759,0.68742,0.57371,0.73299,1.64619,0.96116,0.00016362,0.00016362,0.00016362
2,4.76853,1.22925,1.77616,1.391,0.86938,0.71725,0.74791,0.6252,0.73653,1.18955,0.93961,0.000335775,0.000335775,0.000335775
3,6.82578,1.09513,1.40866,1.2589,0.92947,0.6875,0.72982,0.5878,0.78662,0.89394,0.94897,0.00050736,0.00050736,0.00050736
4,8.81118,1.13205,1.37236,1.29656,0.91197,0.6721,0.72703,0.56075,0.83668,0.84204,0.97806,0.000678375,0.000678375,0.000678375
5,10.7354,1.13992,1.2457,1.26164,0.87807,0.66293,0.72428,0.53927,0.88112,0.7668,0.97128,0.000848821,0.000848821,0.000848821
6,12.7105,1.14659,1.23004,1.26646,0.92255,0.64693,0.69678,0.52884,0.90597,0.79196,0.98706,0.000901501,0.000901501,0.000901501
7,14.8302,1.10401,1.15483,1.24367,0.79195,0.69446,0.70797,0.51743,0.96219,0.86337,0.98578,0.000900001,0.000900001,0.000900001
8,16.869,1.12408,1.11867,1.20264,0.71224,0.70206,0.72765,0.53541,0.93102,0.87328,0.97524,0.000898501,0.000898501,0.000898501
9,18.8097,1.1137,1.10786,1.25603,0.72971,0.68294,0.70498,0.51367,1.00513,0.87856,0.99572,0.000897001,0.000897001,0.000897001
10,20.7854,1.03689,0.94274,1.12767,0.74629,0.67565,0.72244,0.51795,0.9937,0.91255,0.98648,0.000895501,0.000895501,0.000895501
11,22.7349,1.02377,0.9025,1.09946,0.78395,0.68419,0.78281,0.52263,1.06454,0.99179,0.99499,0.000894001,0.000894001,0.000894001
12,24.6909,1.06788,1.01381,1.15569,0.81962,0.69159,0.75926,0.52791,1.03957,0.89899,0.98987,0.000892502,0.000892502,0.000892502
13,26.6283,0.95404,0.83736,1.06911,0.83314,0.66525,0.74833,0.50983,1.03312,0.86864,0.98991,0.000891002,0.000891002,0.000891002
14,28.5698,0.99951,0.87337,1.09336,0.80516,0.77406,0.75299,0.51645,1.07412,0.89589,1.03375,0.000889502,0.000889502,0.000889502
15,30.5197,0.97579,0.8815,1.11202,0.74899,0.66422,0.71591,0.52413,0.99176,0.94568,1.00521,0.000888002,0.000888002,0.000888002
16,32.3999,0.89891,0.82889,1.08826,0.71226,0.6605,0.67837,0.52727,0.94682,0.9288,0.98604,0.000886502,0.000886502,0.000886502
17,34.3675,0.96692,0.86282,1.12255,0.52641,0.64867,0.62669,0.46637,0.94167,0.93736,0.98188,0.000885002,0.000885002,0.000885002
18,36.3015,0.95489,0.81605,1.08199,0.59568,0.60942,0.65376,0.47894,0.98415,0.88966,1.00855,0.000883503,0.000883503,0.000883503
19,38.288,0.89597,0.82913,1.1031,0.5859,0.61244,0.62251,0.45389,1.00096,0.85476,1.03982,0.000882003,0.000882003,0.000882003
20,40.2709,0.92322,0.86373,1.11924,0.70097,0.57563,0.62971,0.447,1.04255,0.89717,1.00073,0.000880503,0.000880503,0.000880503
21,42.2469,0.91767,0.82734,1.12738,0.65894,0.62288,0.64883,0.45814,1.08142,0.90083,0.99675,0.000879003,0.000879003,0.000879003
22,44.2274,0.89615,0.77162,1.06698,0.73672,0.63973,0.68185,0.45981,1.03746,0.91198,1.01082,0.000877503,0.000877503,0.000877503
23,46.1709,0.95351,0.80799,1.07045,0.65906,0.64079,0.65445,0.42246,1.06305,0.93089,1.04722,0.000876003,0.000876003,0.000876003
24,48.1139,0.88526,0.83004,1.10109,0.78965,0.60228,0.65774,0.42183,1.08349,0.9154,1.05874,0.000874503,0.000874503,0.000874503
25,50.0934,0.88279,0.75206,1.03516,0.65791,0.62299,0.69417,0.47167,1.03564,0.92461,1.03949,0.000873004,0.000873004,0.000873004
26,52.0604,0.90847,0.7853,1.07491,0.61656,0.71008,0.6823,0.47098,1.0631,0.96107,1.05366,0.000871504,0.000871504,0.000871504
27,53.9827,0.90264,0.74674,1.08428,0.65622,0.68225,0.65777,0.46329,1.00761,0.97588,1.02758,0.000870004,0.000870004,0.000870004
28,55.9492,0.86276,0.73135,1.05024,0.8485,0.58394,0.68492,0.46654,0.93182,1.01034,1.00283,0.000868504,0.000868504,0.000868504
29,57.9688,0.85381,0.72052,1.05983,0.66378,0.59579,0.62038,0.43366,0.94425,1.06803,1.01646,0.000867004,0.000867004,0.000867004
30,59.9513,0.89894,0.80717,1.12172,0.62301,0.62451,0.6062,0.41527,0.9453,1.22334,1.01512,0.000865504,0.000865504,0.000865504
31,61.9599,0.91536,0.76572,1.10558,0.6447,0.57399,0.59052,0.41832,0.96382,1.32501,1.01617,0.000864004,0.000864004,0.000864004
32,63.8276,0.86507,0.7697,1.09915,0.66755,0.60964,0.61378,0.45992,0.96105,1.30685,1.03406,0.000862505,0.000862505,0.000862505
33,65.7829,0.86457,0.72506,1.05261,0.70627,0.61905,0.61864,0.43325,0.93698,1.05497,1.00474,0.000861005,0.000861005,0.000861005
34,67.6627,0.89836,0.78408,1.06185,0.797,0.60575,0.6535,0.41261,1.02426,0.98714,1.02549,0.000859505,0.000859505,0.000859505
35,69.6363,0.85695,0.69183,1.0276,0.69399,0.68587,0.65407,0.43128,1.09296,1.04301,1.06053,0.000858005,0.000858005,0.000858005
36,71.604,0.82863,0.72808,1.08226,0.68227,0.6083,0.63379,0.42426,1.13207,1.18969,1.075,0.000856505,0.000856505,0.000856505
37,73.5229,0.82579,0.6571,1.01268,0.67937,0.57565,0.60802,0.42754,1.09688,1.15589,1.07906,0.000855005,0.000855005,0.000855005
38,75.4471,0.85225,0.73938,1.0752,0.60897,0.59382,0.5877,0.41689,1.1221,1.14001,1.13331,0.000853506,0.000853506,0.000853506
39,77.4903,0.8321,0.66429,1.02915,0.7789,0.58559,0.64111,0.44212,1.11061,1.05151,1.04605,0.000852006,0.000852006,0.000852006
40,79.4564,0.81885,0.71145,1.05962,0.73143,0.64021,0.66695,0.45265,1.11182,1.08151,1.05484,0.000850506,0.000850506,0.000850506
41,81.4126,0.8219,0.65572,1.01663,0.78102,0.58099,0.67726,0.45967,1.09914,1.20702,1.05908,0.000849006,0.000849006,0.000849006
42,83.3939,0.82389,0.6753,1.02982,0.71967,0.58217,0.65046,0.42287,1.06166,1.13458,1.05233,0.000847506,0.000847506,0.000847506
43,85.3451,0.75948,0.63894,1.03068,0.68839,0.65055,0.61698,0.40677,1.09091,1.09405,1.06276,0.000846006,0.000846006,0.000846006
44,87.3057,0.82526,0.66635,1.00368,0.78743,0.60197,0.66319,0.439,1.08824,1.04404,1.0722,0.000844506,0.000844506,0.000844506
45,89.2731,0.76214,0.61436,0.99175,0.7531,0.59521,0.64304,0.42036,1.07135,1.06692,1.05192,0.000843007,0.000843007,0.000843007
46,91.3048,0.82298,0.63773,1.01212,0.7931,0.54072,0.6502,0.42633,1.08566,1.05608,1.07387,0.000841507,0.000841507,0.000841507
47,93.2995,0.78541,0.62156,1.03169,0.64291,0.54973,0.62716,0.40214,1.07025,1.05669,1.05591,0.000840007,0.000840007,0.000840007
48,95.3543,0.81009,0.62938,0.98149,0.63126,0.56594,0.60939,0.40984,1.06097,1.07025,1.07114,0.000838507,0.000838507,0.000838507
49,97.3391,0.78086,0.59576,1.03134,0.62914,0.53287,0.5821,0.39452,1.10313,1.11454,1.08667,0.000837007,0.000837007,0.000837007
50,99.3109,0.7543,0.66358,1.01045,0.55184,0.52582,0.57288,0.40107,1.08565,1.24372,1.04969,0.000835507,0.000835507,0.000835507
51,101.279,0.80223,0.63259,1.05125,0.6405,0.58393,0.6221,0.40142,1.14543,1.31947,1.10776,0.000834007,0.000834007,0.000834007
52,103.317,0.77696,0.62706,0.99562,0.77095,0.47497,0.58196,0.3755,1.17936,1.32164,1.07697,0.000832508,0.000832508,0.000832508
53,105.275,0.76029,0.64973,1.00323,0.68884,0.53823,0.64299,0.42309,1.14448,1.10535,1.05376,0.000831008,0.000831008,0.000831008
54,107.196,0.72622,0.58846,0.97698,0.75666,0.52244,0.64088,0.41909,1.16434,1.05031,1.04759,0.000829508,0.000829508,0.000829508
55,109.182,0.77844,0.62705,1.04181,0.66663,0.56171,0.62366,0.42389,1.13239,1.07041,1.03611,0.000828008,0.000828008,0.000828008
56,111.143,0.72878,0.60201,1.01574,0.75328,0.41486,0.55279,0.39383,1.15088,1.19666,1.09164,0.000826508,0.000826508,0.000826508
57,113.163,0.79985,0.6161,0.99538,0.65724,0.4964,0.55034,0.40113,1.18009,1.22476,1.08902,0.000825008,0.000825008,0.000825008
58,115.129,0.71255,0.61403,1.02315,0.62298,0.47801,0.56267,0.38521,1.19797,1.21217,1.08651,0.000823509,0.000823509,0.000823509
59,117.182,0.74546,0.59222,0.99236,0.69943,0.4951,0.58947,0.40687,1.21738,1.25957,1.10719,0.000822009,0.000822009,0.000822009
60,119.149,0.75297,0.61024,1.01013,0.66446,0.51037,0.59786,0.39964,1.30006,1.34984,1.17135,0.000820509,0.000820509,0.000820509
61,121.101,0.71151,0.95216,0.93536,0.65717,0.56977,0.62191,0.3952,1.22496,1.24645,1.09349,0.000819009,0.000819009,0.000819009
62,122.996,0.76221,0.59126,1.02851,0.66561,0.53153,0.60397,0.39637,1.23687,1.1478,1.08506,0.000817509,0.000817509,0.000817509
63,125.004,0.7642,0.57914,0.99367,0.69114,0.5056,0.56328,0.39599,1.21151,1.02523,1.07434,0.000816009,0.000816009,0.000816009
64,126.934,0.74145,0.58195,0.99428,0.78411,0.54382,0.64276,0.43093,1.17323,0.98395,1.04377,0.000814509,0.000814509,0.000814509
65,128.887,0.71774,0.54882,0.98767,0.70939,0.61074,0.68506,0.45179,1.14338,0.99124,1.0214,0.00081301,0.00081301,0.00081301
66,130.832,0.70049,0.56753,0.96733,0.75409,0.57987,0.67615,0.46464,1.15933,1.009,1.02869,0.00081151,0.00081151,0.00081151
67,132.734,0.71422,0.55472,0.98401,0.77621,0.58379,0.68584,0.45959,1.15515,1.09343,1.04404,0.00081001,0.00081001,0.00081001
68,134.666,0.69101,0.5469,0.97448,0.79467,0.65702,0.69024,0.44885,1.18231,1.06962,1.05126,0.00080851,0.00080851,0.00080851
69,136.648,0.68569,0.53607,0.97826,0.66538,0.68961,0.674,0.43416,1.18883,1.03104,1.03323,0.00080701,0.00080701,0.00080701
70,138.603,0.67807,0.53623,0.97234,0.75875,0.6508,0.70245,0.44023,1.1969,0.99511,1.03996,0.00080551,0.00080551,0.00080551
71,140.565,0.71332,0.55066,0.99969,0.79234,0.57864,0.64212,0.42278,1.22466,1.10922,1.05508,0.00080401,0.00080401,0.00080401
72,142.515,0.67252,0.52819,0.96202,0.71698,0.57334,0.5931,0.38848,1.20947,1.20572,1.06562,0.000802511,0.000802511,0.000802511
