epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54073,1.14945,1.96969,1.25022,0.87464,0.20598,0.3477,0.23195,1.35121,2.58561,1.39331,0.00016362,0.00016362,0.00016362
2,4.58889,1.0505,1.40613,1.22649,0.90856,0.31984,0.41546,0.28595,1.37603,2.06846,1.45176,0.000335775,0.000335775,0.000335775
3,6.53508,0.91171,1.06202,1.10685,0.90939,0.31158,0.40756,0.26832,1.39151,1.89624,1.48439,0.00050736,0.00050736,0.00050736
4,8.40794,1.03475,1.25198,1.21753,0.85658,0.31785,0.5073,0.3421,1.42314,1.76975,1.50877,0.000678375,0.000678375,0.000678375
5,10.2934,1.01477,1.09512,1.17855,0.46474,0.60819,0.58297,0.36341,1.3977,1.73318,1.45361,0.000848821,0.000848821,0.000848821
6,12.25,1.0218,1.09603,1.17306,0.55005,0.58731,0.56516,0.34144,1.3193,1.76181,1.34179,0.000901501,0.000901501,0.000901501
7,14.2527,0.9852,1.06195,1.19563,0.65962,0.62884,0.58389,0.35065,1.30296,1.71274,1.29002,0.000900001,0.000900001,0.000900001
8,16.3624,1.00239,1.05012,1.17531,0.62517,0.61396,0.58817,0.34558,1.32581,1.82291,1.32745,0.000898501,0.000898501,0.000898501
9,18.2992,0.94292,1.01923,1.17446,0.57711,0.63556,0.50514,0.30347,1.33487,2.03482,1.33502,0.000897001,0.000897001,0.000897001
10,20.1383,0.96078,0.98676,1.11929,0.88881,0.33246,0.435,0.28258,1.38539,2.12824,1.35557,0.000895501,0.000895501,0.000895501
11,22.0787,0.89453,0.93669,1.09077,0.51148,0.6208,0.44605,0.27967,1.47729,2.15329,1.42073,0.000894001,0.000894001,0.000894001
12,24.0028,0.98258,0.99091,1.13731,0.58327,0.45886,0.47975,0.31541,1.55728,2.00753,1.45504,0.000892502,0.000892502,0.000892502
13,25.9475,0.89209,0.89075,1.0537,0.45682,0.59126,0.44717,0.30446,1.52258,2.00318,1.42659,0.000891002,0.000891002,0.000891002
14,27.8838,0.90733,0.85285,1.06016,0.57136,0.41458,0.42427,0.30926,1.44767,2.00869,1.36765,0.000889502,0.000889502,0.000889502
15,29.8068,0.93091,0.87758,1.08215,0.62523,0.41235,0.43579,0.29892,1.37594,1.99523,1.33827,0.000888002,0.000888002,0.000888002
16,31.6216,0.92329,0.85037,1.07566,0.56151,0.4304,0.41942,0.29837,1.40869,1.89963,1.37119,0.000886502,0.000886502,0.000886502
17,33.5096,0.92355,0.85825,1.0878,0.57721,0.35735,0.41955,0.31138,1.37296,1.98629,1.33874,0.000885002,0.000885002,0.000885002
18,35.3032,0.85084,0.75707,1.03643,0.53629,0.45724,0.44962,0.32062,1.28899,1.86341,1.27938,0.000883503,0.000883503,0.000883503
19,37.1438,0.85943,0.88969,1.08719,0.47014,0.4323,0.42528,0.31992,1.20311,1.74879,1.25061,0.000882003,0.000882003,0.000882003
20,38.9895,0.88871,0.86914,1.1056,0.51777,0.45746,0.43797,0.32058,1.25433,1.6162,1.27115,0.000880503,0.000880503,0.000880503
21,40.8176,0.86387,0.7769,1.07345,0.52668,0.4622,0.44215,0.33144,1.27769,1.60098,1.27556,0.000879003,0.000879003,0.000879003
22,42.6332,0.9027,0.78499,1.04585,0.49204,0.41751,0.43001,0.32232,1.2676,1.70961,1.28691,0.000877503,0.000877503,0.000877503
23,44.5034,0.84568,0.76669,1.02534,0.70935,0.39715,0.40786,0.30859,1.33434,1.77069,1.33747,0.000876003,0.000876003,0.000876003
24,46.3226,0.84687,0.80726,1.09672,0.8731,0.36965,0.45257,0.32419,1.33827,1.65128,1.36113,0.000874503,0.000874503,0.000874503
25,48.2254,0.85893,0.75844,1.01686,0.74421,0.43465,0.44951,0.32282,1.37021,1.70161,1.37116,0.000873004,0.000873004,0.000873004
26,50.0722,0.83176,0.85578,1.04565,0.78137,0.41729,0.43711,0.3127,1.36633,1.88042,1.38944,0.000871504,0.000871504,0.000871504
27,51.9418,0.81919,0.70414,1.03368,0.7591,0.36524,0.4024,0.29664,1.40481,1.99718,1.45111,0.000870004,0.000870004,0.000870004
28,53.7901,0.83374,0.74389,1.0093,0.74802,0.40302,0.42129,0.30833,1.39915,1.92359,1.41573,0.000868504,0.000868504,0.000868504
29,55.6623,0.8643,0.76705,1.03402,0.79877,0.41363,0.4269,0.31621,1.30878,1.72524,1.3209,0.000867004,0.000867004,0.000867004
30,57.5075,0.91618,0.80266,1.09448,0.75117,0.41103,0.44072,0.3254,1.28923,1.64725,1.31192,0.000865504,0.000865504,0.000865504
31,59.4606,0.90298,0.77185,1.06339,0.75474,0.40311,0.44649,0.32217,1.3521,1.62455,1.36145,0.000864004,0.000864004,0.000864004
32,61.4222,0.7724,0.64963,1.0222,0.78211,0.38307,0.43611,0.32182,1.37543,1.75647,1.36169,0.000862505,0.000862505,0.000862505
33,63.3942,0.77536,0.66423,1.01224,0.80201,0.42761,0.45308,0.33013,1.34246,1.72918,1.32983,0.000861005,0.000861005,0.000861005
34,65.3484,0.82256,0.69489,1.01258,0.64955,0.48801,0.47548,0.34077,1.33344,1.70164,1.31962,0.000859505,0.000859505,0.000859505
35,67.2645,0.79776,0.66268,0.99681,0.68033,0.42474,0.4781,0.33669,1.34875,1.79712,1.31537,0.000858005,0.000858005,0.000858005
36,69.1779,0.82449,0.70246,1.03733,0.81089,0.45323,0.46344,0.32577,1.42772,1.80589,1.39081,0.000856505,0.000856505,0.000856505
37,71.1029,0.77864,0.63947,0.98751,0.75689,0.39891,0.43632,0.31329,1.40254,1.77837,1.36255,0.000855005,0.000855005,0.000855005
38,73.0142,0.7596,0.64242,1.01111,0.75781,0.4022,0.4182,0.29295,1.45276,1.78397,1.35624,0.000853506,0.000853506,0.000853506
39,74.956,0.78963,0.69988,1.01661,0.68601,0.45094,0.44898,0.31736,1.42275,1.86271,1.36276,0.000852006,0.000852006,0.000852006
40,76.8576,0.86783,1.04857,1.0691,0.7271,0.40861,0.48509,0.33119,1.38471,1.81666,1.3186,0.000850506,0.000850506,0.000850506
41,78.7107,0.80756,0.65425,0.986,0.78669,0.39071,0.4963,0.34179,1.34549,1.69884,1.31639,0.000849006,0.000849006,0.000849006
42,80.5207,0.81111,0.6799,1.03871,0.87336,0.3905,0.54908,0.35041,1.36883,1.70127,1.34852,0.000847506,0.000847506,0.000847506
43,82.3598,0.83705,0.69619,1.04651,0.52152,0.60516,0.52704,0.3653,1.34001,1.66579,1.33046,0.000846006,0.000846006,0.000846006
44,84.2458,0.76978,0.64416,0.9715,0.48518,0.50812,0.5089,0.36236,1.30773,1.65617,1.28947,0.000844506,0.000844506,0.000844506
45,86.0932,0.84079,0.66273,1.00037,0.85619,0.36781,0.46081,0.33922,1.32179,1.72661,1.33667,0.000843007,0.000843007,0.000843007
46,88.3289,0.77207,0.64176,0.99123,0.6159,0.42386,0.45238,0.34113,1.35583,1.75381,1.34087,0.000841507,0.000841507,0.000841507
47,90.357,0.75681,0.64099,1.00803,0.588,0.36673,0.40853,0.32426,1.35672,1.79476,1.32284,0.000840007,0.000840007,0.000840007
48,92.4513,0.80375,0.66851,0.99288,0.54647,0.40353,0.41312,0.33047,1.32941,1.77181,1.31457,0.000838507,0.000838507,0.000838507
