epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4549.49,0.30816,0.48369,0.94482,0.80535,0.71464,0.73458,0.70286,0.3795,0.68898,0.82084,0.008614,0.008614,0.008614
44,4750.9,0.30406,0.47827,0.9428,0.77101,0.70642,0.74735,0.71341,0.37489,0.69162,0.81234,0.008581,0.008581,0.008581
45,4951.57,0.30624,0.48061,0.94612,0.80694,0.71695,0.76878,0.73172,0.3823,0.73861,0.8151,0.008548,0.008548,0.008548
46,5152.03,0.30509,0.47746,0.944,0.68933,0.77668,0.76394,0.72492,0.37691,0.7097,0.81007,0.008515,0.008515,0.008515
47,5352.25,0.30795,0.47568,0.94776,0.76804,0.74525,0.76378,0.72534,0.38294,0.73825,0.82472,0.008482,0.008482,0.008482
48,5551.47,0.30002,0.47374,0.9424,0.84993,0.68449,0.80051,0.76417,0.37586,0.69558,0.80827,0.008449,0.008449,0.008449
49,5751.07,0.29636,0.45684,0.93989,0.72893,0.74859,0.77824,0.74147,0.37782,0.70495,0.80299,0.008416,0.008416,0.008416
50,5950.87,0.29567,0.46184,0.94055,0.81973,0.68863,0.79735,0.75703,0.39398,0.66477,0.82504,0.008383,0.008383,0.008383
51,6152.2,0.29458,0.4549,0.94097,0.82817,0.6917,0.79464,0.75937,0.38275,0.66638,0.82161,0.00835,0.00835,0.00835
52,6353.81,0.29499,0.46182,0.9406,0.80702,0.69436,0.76217,0.72655,0.37387,0.70919,0.81858,0.008317,0.008317,0.008317
53,6553.95,0.29479,0.45082,0.93934,0.80577,0.69386,0.78875,0.74774,0.39646,0.75536,0.83896,0.008284,0.008284,0.008284
54,6755.45,0.29372,0.45052,0.93796,0.79084,0.72145,0.79087,0.75528,0.387,0.694,0.82627,0.008251,0.008251,0.008251
55,6957.04,0.2878,0.44119,0.93786,0.80991,0.7054,0.77932,0.74286,0.39082,0.72333,0.82615,0.008218,0.008218,0.008218
56,7128.98,0.29187,0.44404,0.94067,0.82576,0.71764,0.79334,0.75117,0.39375,0.73341,0.83162,0.008185,0.008185,0.008185
57,7297.52,0.28643,0.43253,0.93767,0.84145,0.67138,0.79884,0.76048,0.39165,0.7153,0.82226,0.008152,0.008152,0.008152
58,7497.88,0.28683,0.43693,0.93796,0.84898,0.66522,0.79384,0.75324,0.39251,0.72691,0.83083,0.008119,0.008119,0.008119
59,7695.25,0.28752,0.43559,0.93627,0.82605,0.71463,0.78851,0.75165,0.39388,0.71092,0.83099,0.008086,0.008086,0.008086
60,7889.45,0.28322,0.43066,0.93586,0.77087,0.75836,0.76609,0.72867,0.39062,0.74461,0.82836,0.008053,0.008053,0.008053
61,8085.25,0.2844,0.43236,0.9375,0.76925,0.75223,0.78348,0.74457,0.38516,0.70159,0.82668,0.00802,0.00802,0.00802
62,8265.99,0.28453,0.42855,0.93691,0.80077,0.72891,0.80734,0.76637,0.38164,0.66911,0.81821,0.007987,0.007987,0.007987
