epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.35498,1.32037,2.56962,1.41108,0.79425,0.61116,0.64928,0.56068,0.67303,1.62199,0.90838,0.00016362,0.00016362,0.00016362
2,4.19784,1.23383,1.79235,1.37205,0.91888,0.68145,0.74201,0.62571,0.65458,1.23145,0.92587,0.000335775,0.000335775,0.000335775
3,5.94814,1.11199,1.4333,1.25512,0.93374,0.69105,0.75495,0.6211,0.64032,0.94548,0.90561,0.00050736,0.00050736,0.00050736
4,7.6515,1.18108,1.41249,1.32283,0.66673,0.75946,0.74734,0.60509,0.69669,0.77201,0.96027,0.000678375,0.000678375,0.000678375
5,9.38921,1.13097,1.30967,1.26352,0.93113,0.62876,0.76111,0.61152,0.73016,0.78448,0.95386,0.000848821,0.000848821,0.000848821
6,11.0747,1.17203,1.25531,1.28386,0.8709,0.67379,0.74773,0.59966,0.75209,0.75739,0.93988,0.000901501,0.000901501,0.000901501
7,12.7886,1.09812,1.18002,1.25036,0.72972,0.73774,0.74528,0.60567,0.75401,0.78638,0.94788,0.000900001,0.000900001,0.000900001
8,14.5938,1.13792,1.13925,1.22668,0.95154,0.70137,0.75626,0.6277,0.7476,0.79417,0.94149,0.000898501,0.000898501,0.000898501
9,16.2978,1.11712,1.1639,1.26696,0.79908,0.73638,0.7576,0.61344,0.772,0.84528,0.93656,0.000897001,0.000897001,0.000897001
10,17.9711,1.03581,0.97536,1.147,0.74374,0.76187,0.76087,0.60436,0.76439,0.74694,0.9356,0.000895501,0.000895501,0.000895501
11,19.6478,1.01786,0.94468,1.11985,0.93056,0.70262,0.75584,0.59438,0.75961,0.76731,0.94166,0.000894001,0.000894001,0.000894001
12,21.3127,1.07318,1.05572,1.1769,0.68233,0.7566,0.72954,0.57365,0.76829,0.71258,0.94101,0.000892502,0.000892502,0.000892502
13,23.0088,0.92593,0.83524,1.07639,0.72556,0.76521,0.7453,0.58964,0.7933,0.73174,0.94876,0.000891002,0.000891002,0.000891002
14,24.6842,1.0134,0.92019,1.12696,0.78168,0.80585,0.77798,0.59178,0.85629,0.76279,0.96883,0.000889502,0.000889502,0.000889502
15,26.3635,0.98922,0.87498,1.11973,0.72668,0.79945,0.7674,0.58871,0.86794,0.71793,0.97156,0.000888002,0.000888002,0.000888002
16,28.024,0.91194,0.86257,1.10677,0.67357,0.73954,0.7473,0.59565,0.83968,0.71032,0.96466,0.000886502,0.000886502,0.000886502
17,29.7829,0.99759,0.92808,1.16461,0.72827,0.7102,0.76131,0.60075,0.76173,0.70766,0.95834,0.000885002,0.000885002,0.000885002
18,31.4487,0.95298,0.84815,1.09908,0.65783,0.77076,0.71349,0.5788,0.77186,0.71912,0.9547,0.000883503,0.000883503,0.000883503
19,33.1071,0.922,0.85613,1.11399,0.65718,0.79683,0.72386,0.57284,0.78288,0.69542,0.9762,0.000882003,0.000882003,0.000882003
