epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.57182,1.53079,3.59239,1.2783,0.56766,0.25503,0.26106,0.18824,1.21744,3.20627,1.3071,8e-05,8e-05,8e-05
2,2.6171,1.38465,2.29731,1.18547,0.46881,0.40682,0.30887,0.22395,1.15886,3.01419,1.2449,0.00016972,0.00016972,0.00016972
3,3.60717,1.26713,1.83357,1.12393,0.482,0.39455,0.31775,0.24381,1.1333,3.16089,1.22493,0.000259142,0.000259142,0.000259142
4,4.56456,1.1976,1.6658,1.0739,0.56571,0.37865,0.40242,0.30867,1.11828,2.43741,1.20768,0.000348267,0.000348267,0.000348267
5,5.50868,1.21959,1.49826,1.09033,0.59538,0.35323,0.38424,0.31063,1.07133,2.40206,1.18187,0.000437096,0.000437096,0.000437096
6,6.43424,1.17824,1.64835,1.07375,0.62052,0.35078,0.3784,0.30207,1.04252,2.16863,1.1661,0.000525627,0.000525627,0.000525627
7,7.32741,1.13783,1.50778,1.0789,0.84167,0.35241,0.40038,0.31162,1.02518,1.76518,1.1443,0.000613862,0.000613862,0.000613862
8,8.24222,1.14328,1.47904,1.04691,0.89092,0.41777,0.45059,0.35562,1.00564,1.5316,1.12342,0.000701799,0.000701799,0.000701799
9,9.16484,1.11896,1.3434,1.01743,0.71177,0.422,0.44724,0.35365,1.05514,1.78204,1.14101,0.00078944,0.00078944,0.00078944
10,10.046,1.03704,1.27574,0.99867,0.68167,0.40985,0.44458,0.35352,1.04238,1.86659,1.13204,0.000876783,0.000876783,0.000876783
11,11.1083,1.08148,1.23131,1.02039,0.87168,0.41655,0.45667,0.36358,1.05029,1.51241,1.13526,0.00096383,0.00096383,0.00096383
12,12.0188,1.03161,1.13354,0.97553,0.90539,0.38601,0.4599,0.3602,1.03974,1.57444,1.12087,0.00098185,0.00098185,0.00098185
13,12.9182,1.0995,1.17518,1.02714,0.64524,0.42262,0.46478,0.36339,1.04013,1.56685,1.11292,0.0009802,0.0009802,0.0009802
14,13.8456,1.01671,0.99528,0.99505,0.68593,0.40974,0.47086,0.36991,1.02335,1.58235,1.1026,0.00097855,0.00097855,0.00097855
15,14.751,1.00802,1.03681,0.98706,0.90855,0.38919,0.48432,0.36161,1.01188,1.63429,1.09412,0.0009769,0.0009769,0.0009769
16,15.6429,1.05411,1.11766,0.9999,0.90134,0.39374,0.48196,0.36297,0.9964,1.57167,1.08347,0.00097525,0.00097525,0.00097525
17,16.5576,1.01787,0.98855,0.97436,0.92762,0.38709,0.46983,0.37089,0.99377,1.47848,1.08951,0.0009736,0.0009736,0.0009736
18,17.5336,1.01034,1.02176,0.96654,0.91361,0.39186,0.45993,0.37208,1.01021,1.43879,1.10867,0.00097195,0.00097195,0.00097195
19,18.4664,1.07008,1.03545,0.98492,0.67401,0.42956,0.46051,0.35566,1.03425,1.52863,1.11941,0.0009703,0.0009703,0.0009703
20,19.3451,0.99517,0.95243,0.97208,0.91615,0.40486,0.46542,0.35716,1.04537,1.49947,1.12728,0.00096865,0.00096865,0.00096865
21,20.2544,1.03122,0.93864,0.95801,0.53747,0.42723,0.47489,0.35891,1.04981,1.41235,1.13407,0.000967,0.000967,0.000967
22,21.1683,0.97914,0.85885,0.95057,0.78571,0.43956,0.4872,0.37502,1.06195,1.40358,1.14139,0.00096535,0.00096535,0.00096535
23,22.0817,1.00029,0.97353,0.96757,0.76173,0.41344,0.4784,0.36957,1.0475,1.41193,1.15002,0.0009637,0.0009637,0.0009637
24,22.9764,0.96575,0.82237,0.95946,0.7089,0.38653,0.45047,0.3559,1.05372,1.45287,1.15321,0.00096205,0.00096205,0.00096205
25,23.9274,0.95004,0.87816,0.99459,0.91265,0.38851,0.44203,0.35574,1.05269,1.46834,1.15145,0.0009604,0.0009604,0.0009604
26,24.8272,0.95008,0.89356,0.93203,0.7119,0.3964,0.43833,0.34372,1.05344,1.5034,1.14969,0.00095875,0.00095875,0.00095875
27,25.785,0.96498,0.88511,0.96385,0.91327,0.40731,0.46873,0.35366,1.02734,1.48922,1.11172,0.0009571,0.0009571,0.0009571
28,26.7182,0.87338,0.80239,0.94589,0.92251,0.38697,0.47942,0.37113,1.03532,1.49578,1.11252,0.00095545,0.00095545,0.00095545
29,27.6265,0.9556,0.89411,0.96195,0.94195,0.41072,0.47514,0.37815,1.04728,1.4489,1.1105,0.0009538,0.0009538,0.0009538
30,28.5478,0.94638,0.77702,0.93218,0.94063,0.41764,0.48642,0.38675,1.05653,1.39984,1.11021,0.00095215,0.00095215,0.00095215
31,29.4488,0.94322,0.7858,0.94551,0.91585,0.41274,0.4897,0.38661,1.06117,1.37715,1.11285,0.0009505,0.0009505,0.0009505
32,30.3496,0.9243,0.80543,0.95671,0.90625,0.44555,0.49322,0.37911,1.06295,1.38035,1.11771,0.00094885,0.00094885,0.00094885
33,31.246,0.91329,0.74524,0.94219,0.70599,0.45863,0.49194,0.37394,1.07044,1.38777,1.12412,0.0009472,0.0009472,0.0009472
34,32.1481,0.86568,0.72985,0.91199,0.74877,0.4119,0.49243,0.37451,1.07477,1.3802,1.12883,0.00094555,0.00094555,0.00094555
35,33.0753,1.01472,0.79646,0.93737,0.73386,0.40856,0.49672,0.38698,1.04823,1.34002,1.11207,0.0009439,0.0009439,0.0009439
36,33.9915,0.86937,0.68733,0.92215,0.73255,0.39746,0.50396,0.39536,1.04325,1.2962,1.11783,0.00094225,0.00094225,0.00094225
37,34.9296,0.87526,0.73503,0.9228,0.75188,0.39469,0.51595,0.40882,1.03678,1.25828,1.11766,0.0009406,0.0009406,0.0009406
38,35.8532,0.94128,0.71308,0.90595,0.49111,0.50605,0.5266,0.41564,1.03723,1.25677,1.12074,0.00093895,0.00093895,0.00093895
39,36.8256,0.89929,0.70017,0.93227,0.50899,0.49326,0.52943,0.41444,1.02534,1.24226,1.11178,0.0009373,0.0009373,0.0009373
40,37.84,0.86191,0.67749,0.9335,0.53481,0.46919,0.52796,0.41779,1.02811,1.24289,1.11522,0.00093565,0.00093565,0.00093565
41,38.7976,0.83882,0.67957,0.91736,0.57657,0.4888,0.53722,0.43049,1.0232,1.2361,1.10901,0.000934,0.000934,0.000934
42,39.7258,0.82878,0.64679,0.91119,0.56049,0.51465,0.53113,0.42161,1.01184,1.22472,1.09911,0.00093235,0.00093235,0.00093235
43,40.6743,0.89815,0.70849,0.92425,0.58229,0.48503,0.53273,0.41761,1.0151,1.21557,1.09775,0.0009307,0.0009307,0.0009307
44,41.6582,0.8794,0.71498,0.91728,0.55246,0.48356,0.53229,0.4221,1.01542,1.22092,1.10175,0.00092905,0.00092905,0.00092905
45,42.6594,0.88623,0.74113,0.92739,0.7368,0.45185,0.53294,0.41569,1.05072,1.19441,1.11845,0.0009274,0.0009274,0.0009274
46,43.6432,0.8295,0.6206,0.90379,0.93769,0.45863,0.53954,0.41322,1.05764,1.19691,1.12403,0.00092575,0.00092575,0.00092575
47,44.6525,0.84722,0.65809,0.90436,0.9399,0.47063,0.5467,0.4179,1.06576,1.20964,1.13343,0.0009241,0.0009241,0.0009241
48,45.6659,0.80285,0.6131,0.89993,0.75807,0.49816,0.54493,0.41856,1.05063,1.19578,1.1314,0.00092245,0.00092245,0.00092245
49,46.5769,0.86423,0.65003,0.91755,0.77768,0.51378,0.54364,0.40748,1.04787,1.18699,1.13124,0.0009208,0.0009208,0.0009208
50,47.5495,0.91509,0.68239,0.92218,0.80047,0.5063,0.5511,0.41337,1.05711,1.20047,1.1371,0.00091915,0.00091915,0.00091915
51,48.6124,0.79681,0.60673,0.89087,0.82316,0.50201,0.5536,0.42562,1.04616,1.13651,1.13645,0.0009175,0.0009175,0.0009175
52,49.618,0.75651,0.58133,0.87497,0.81713,0.4845,0.5563,0.42711,1.04149,1.08999,1.13693,0.00091585,0.00091585,0.00091585
53,50.5843,0.78001,0.59105,0.88357,0.72918,0.51393,0.55612,0.42083,1.03505,1.07098,1.13321,0.0009142,0.0009142,0.0009142
54,51.5943,0.79271,0.57863,0.88406,0.75317,0.51537,0.54958,0.42192,1.02599,1.12792,1.12838,0.00091255,0.00091255,0.00091255
55,52.5319,0.86272,0.65573,0.89804,0.85596,0.50265,0.55542,0.42399,1.05181,1.20113,1.13765,0.0009109,0.0009109,0.0009109
56,53.5053,0.79691,0.60193,0.87608,0.8257,0.51473,0.54556,0.41556,1.09482,1.26923,1.16607,0.00090925,0.00090925,0.00090925
57,54.4871,0.78325,0.59485,0.89785,0.84134,0.52492,0.554,0.42215,1.08395,1.24227,1.16243,0.0009076,0.0009076,0.0009076
58,55.4604,0.77881,0.58924,0.89654,0.82455,0.51706,0.54833,0.42404,1.07806,1.19493,1.16287,0.00090595,0.00090595,0.00090595
59,56.4589,0.7404,0.56679,0.87821,0.75581,0.53711,0.55038,0.42897,1.02574,1.15512,1.14087,0.0009043,0.0009043,0.0009043
60,57.4001,0.76613,0.576,0.89745,0.7784,0.53193,0.55263,0.4278,1.02326,1.18803,1.1485,0.00090265,0.00090265,0.00090265
