epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57909,1.06951,1.26503,1.11437,0.95907,0.77909,0.78869,0.68097,0.5504,0.5085,0.8922,9.999e-05,9.999e-05,9.999e-05
2,4.31119,1.03382,1.10887,1.10706,0.9587,0.7326,0.75666,0.6707,0.58916,0.57363,0.91061,0.000207,0.000207,0.000207
3,5.81945,0.95769,0.94905,1.06112,0.90945,0.75778,0.74375,0.63788,0.57804,0.66738,0.90262,0.000311851,0.000311851,0.000311851
4,7.30235,0.92102,0.81027,1.02059,0.80689,0.74889,0.7403,0.63542,0.55897,0.70901,0.87464,0.000414541,0.000414541,0.000414541
5,8.92981,0.92407,0.80789,0.99787,0.81538,0.73353,0.75029,0.62555,0.59779,0.69525,0.88002,0.000515072,0.000515072,0.000515072
6,10.3979,0.9243,0.85089,1.00879,0.83457,0.72246,0.74984,0.62626,0.59555,0.65302,0.87622,0.000613443,0.000613443,0.000613443
7,11.8851,0.88613,0.80118,1.00756,0.79804,0.72691,0.76469,0.63466,0.57552,0.63827,0.87652,0.000709654,0.000709654,0.000709654
8,13.3713,0.89984,0.75784,0.97939,0.83295,0.72691,0.76721,0.63316,0.58725,0.62249,0.87855,0.000803706,0.000803706,0.000803706
9,14.7961,0.85716,0.71868,0.9717,0.72192,0.79318,0.74647,0.61865,0.60297,0.62668,0.88559,0.000837007,0.000837007,0.000837007
10,16.1895,0.88014,0.70368,0.97814,0.76684,0.84645,0.79944,0.62957,0.59796,0.63927,0.88557,0.000828008,0.000828008,0.000828008
11,17.6641,0.7928,0.64289,0.93813,0.76067,0.80915,0.82071,0.6576,0.58278,0.59598,0.87389,0.000819009,0.000819009,0.000819009
12,18.7454,0.8421,0.66466,0.97643,0.84639,0.73923,0.83241,0.67056,0.57504,0.58358,0.86745,0.00081001,0.00081001,0.00081001
13,19.9305,0.76541,0.64762,0.96329,0.83395,0.78168,0.82626,0.7027,0.55877,0.57489,0.86272,0.000801011,0.000801011,0.000801011
14,20.9698,0.82187,0.64099,0.94751,0.86158,0.76925,0.82239,0.69325,0.55331,0.56456,0.86411,0.000792012,0.000792012,0.000792012
15,21.9872,0.83054,0.65198,0.95859,0.88748,0.74841,0.80347,0.67129,0.55023,0.57938,0.8632,0.000783013,0.000783013,0.000783013
16,23.0377,0.76385,0.59127,0.94258,0.83848,0.75414,0.80863,0.68201,0.55292,0.57241,0.86219,0.000774013,0.000774013,0.000774013
17,24.1871,0.74613,0.60162,0.94801,0.85287,0.80971,0.83083,0.68856,0.55667,0.54185,0.86274,0.000765014,0.000765014,0.000765014
18,25.5671,0.76232,0.55399,0.94201,0.86051,0.82031,0.85226,0.71407,0.55441,0.52446,0.85849,0.000756015,0.000756015,0.000756015
19,27.111,0.72528,0.60314,0.93282,0.91817,0.84457,0.86271,0.71679,0.55542,0.50509,0.85979,0.000747016,0.000747016,0.000747016
20,28.6027,0.80254,0.57568,0.91639,0.92362,0.84137,0.86277,0.72309,0.54733,0.51087,0.85505,0.000738017,0.000738017,0.000738017
21,30.0655,1.03244,1.02013,1.1768,0.94969,0.81158,0.86564,0.71967,0.55126,0.52917,0.86614,0.000729018,0.000729018,0.000729018
22,31.4278,0.76197,0.59283,0.92781,0.93546,0.81238,0.86881,0.71923,0.55127,0.52603,0.86382,0.000720019,0.000720019,0.000720019
23,32.8143,0.81478,0.63044,0.95773,0.86638,0.83003,0.84778,0.69464,0.57358,0.55774,0.87855,0.00071102,0.00071102,0.00071102
24,34.1604,0.73657,0.56547,0.94599,0.7447,0.83537,0.83201,0.69465,0.57789,0.57702,0.87894,0.000702021,0.000702021,0.000702021
25,35.6207,0.7602,0.60806,0.96096,0.83199,0.76927,0.83873,0.69196,0.58786,0.60771,0.88273,0.000693022,0.000693022,0.000693022
26,36.9269,0.76979,0.5356,0.92054,0.83793,0.82025,0.83462,0.69346,0.58613,0.61755,0.88288,0.000684022,0.000684022,0.000684022
27,38.2744,0.73875,0.55057,0.93002,0.81534,0.83632,0.85085,0.70885,0.59687,0.57652,0.88314,0.000675023,0.000675023,0.000675023
28,39.6053,0.73655,0.56901,0.93573,0.86736,0.82645,0.86812,0.72017,0.59119,0.53718,0.88108,0.000666024,0.000666024,0.000666024
29,41.0263,0.73802,0.54867,0.91939,0.84974,0.86374,0.88221,0.7464,0.56879,0.49113,0.87605,0.000657025,0.000657025,0.000657025
30,42.4074,0.77731,0.55615,0.94743,0.84642,0.8605,0.88051,0.74996,0.56284,0.48907,0.87413,0.000648026,0.000648026,0.000648026
31,43.8945,0.75064,0.55981,0.94207,0.88864,0.84469,0.8934,0.74518,0.56133,0.48732,0.86954,0.000639027,0.000639027,0.000639027
32,45.2487,0.73497,0.50826,0.93042,0.92099,0.84803,0.89117,0.7418,0.56527,0.49009,0.86972,0.000630028,0.000630028,0.000630028
33,46.5186,0.7527,0.55407,0.90532,0.84034,0.87387,0.88261,0.74105,0.57893,0.50478,0.87321,0.000621029,0.000621029,0.000621029
34,47.8645,0.72944,0.50183,0.89272,0.84447,0.87798,0.88532,0.73899,0.58605,0.50531,0.87581,0.00061203,0.00061203,0.00061203
35,49.1951,0.69767,0.50666,0.9163,0.95603,0.8622,0.89774,0.74421,0.5791,0.49349,0.87065,0.000603031,0.000603031,0.000603031
36,50.5111,0.6844,0.48713,0.89161,0.94582,0.85354,0.89625,0.74219,0.578,0.49393,0.86946,0.000594031,0.000594031,0.000594031
37,51.8823,0.70012,0.48367,0.90997,0.9106,0.84428,0.89624,0.72838,0.56701,0.49217,0.86329,0.000585032,0.000585032,0.000585032
38,53.2419,0.74789,0.5304,0.91617,0.89702,0.84633,0.88796,0.72878,0.55725,0.4948,0.8631,0.000576033,0.000576033,0.000576033
39,54.7661,0.68452,0.52131,0.9338,0.88936,0.85354,0.88788,0.74071,0.53673,0.4814,0.85778,0.000567034,0.000567034,0.000567034
