epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45199,1.30607,3.06295,1.16404,0.58631,0.23487,0.26928,0.20091,1.24076,3.27442,1.31585,0.00011,0.00011,0.00011
2,2.57693,1.42308,2.20263,1.18223,0.4345,0.39623,0.27521,0.20245,1.18071,3.47195,1.24516,0.00022962,0.00022962,0.00022962
3,3.67717,1.26701,2.07225,1.13311,0.83032,0.2887,0.35015,0.25654,1.10699,2.57958,1.20843,0.000348845,0.000348845,0.000348845
4,4.79244,1.19972,1.66113,1.06323,0.72919,0.38801,0.38992,0.30332,1.0501,2.10339,1.1733,0.000467673,0.000467673,0.000467673
5,5.90351,1.14043,1.40293,1.0606,0.86795,0.35536,0.41007,0.31506,1.03961,1.79262,1.1672,0.000586106,0.000586106,0.000586106
6,6.97544,1.20077,1.74249,1.06991,0.63767,0.35762,0.3977,0.29636,1.06915,1.82586,1.17221,0.000704143,0.000704143,0.000704143
7,8.01504,1.12001,1.47619,1.03388,0.77298,0.35932,0.32952,0.25287,1.06141,2.35747,1.16221,0.000821783,0.000821783,0.000821783
8,9.02411,1.12918,1.38064,1.03372,0.55143,0.37429,0.31314,0.23896,1.05526,2.52862,1.15866,0.000939027,0.000939027,0.000939027
9,10.0642,1.15059,1.44087,1.01793,0.53266,0.43552,0.36561,0.27721,1.07303,2.31506,1.18695,0.0009868,0.0009868,0.0009868
10,11.2053,1.0991,1.25912,1.02399,0.58609,0.41378,0.41358,0.31719,1.09611,1.93127,1.19274,0.00098515,0.00098515,0.00098515
11,12.2442,1.09687,1.19289,1.01434,0.64008,0.35604,0.41145,0.30472,1.15914,1.84287,1.21608,0.0009835,0.0009835,0.0009835
12,13.2332,1.10056,1.13366,1.00126,0.60728,0.37349,0.36084,0.26899,1.15141,1.89508,1.21359,0.00098185,0.00098185,0.00098185
13,14.2406,1.11717,1.13466,1.03674,0.63766,0.41386,0.44226,0.33747,1.15785,1.65018,1.21381,0.0009802,0.0009802,0.0009802
14,15.2732,1.01977,1.17326,0.98503,0.43787,0.40841,0.45762,0.3476,1.16829,1.5614,1.21291,0.00097855,0.00097855,0.00097855
15,16.311,1.00511,1.18035,1.0123,0.91595,0.39392,0.49361,0.374,1.1068,1.44813,1.18762,0.0009769,0.0009769,0.0009769
16,17.3331,1.12115,1.23942,1.01651,0.53228,0.44378,0.45732,0.33144,1.12588,1.52016,1.20431,0.00097525,0.00097525,0.00097525
17,18.3512,1.04051,1.0181,1.00512,0.57253,0.48481,0.50482,0.36072,1.15177,1.37028,1.2413,0.0009736,0.0009736,0.0009736
18,19.3284,0.9664,0.9492,0.97409,0.9179,0.43988,0.5313,0.37822,1.18744,1.38283,1.26281,0.00097195,0.00097195,0.00097195
19,20.3804,0.96219,0.98436,0.9894,0.90514,0.43536,0.51395,0.3812,1.15419,1.42668,1.21604,0.0009703,0.0009703,0.0009703
20,21.4069,0.95575,0.9376,0.93828,0.65325,0.47506,0.50856,0.3824,1.13455,1.38219,1.19284,0.00096865,0.00096865,0.00096865
21,22.4472,0.84863,1.42727,0.87463,0.66375,0.49971,0.49209,0.37489,1.10729,1.33034,1.17049,0.000967,0.000967,0.000967
22,23.429,0.96155,0.90864,0.94753,0.68818,0.44261,0.49452,0.36928,1.09983,1.40322,1.15832,0.00096535,0.00096535,0.00096535
23,24.4328,0.98586,0.92513,0.94363,0.76345,0.40363,0.4836,0.36834,1.11986,1.30791,1.15547,0.0009637,0.0009637,0.0009637
24,25.4363,1.04839,1.00564,0.97111,0.80704,0.42056,0.49115,0.38094,1.10643,1.26353,1.14279,0.00096205,0.00096205,0.00096205
25,26.4574,0.97999,0.92513,0.95634,0.61698,0.47122,0.51306,0.38894,1.08336,1.20429,1.13691,0.0009604,0.0009604,0.0009604
26,27.4817,1.00547,0.87891,0.9653,0.78355,0.48231,0.52676,0.38524,1.09032,1.17996,1.15123,0.00095875,0.00095875,0.00095875
27,28.5039,0.96219,0.89552,0.96169,0.83057,0.46263,0.52667,0.37902,1.101,1.17304,1.17295,0.0009571,0.0009571,0.0009571
28,29.6018,0.87772,0.82065,0.94001,0.85324,0.42508,0.49732,0.37105,1.15317,1.24448,1.21267,0.00095545,0.00095545,0.00095545
29,30.6046,0.92775,0.84531,0.95344,0.8629,0.46855,0.51938,0.38631,1.19196,1.26534,1.23941,0.0009538,0.0009538,0.0009538
30,31.5783,0.90824,0.83818,0.97731,0.85617,0.49718,0.5416,0.39242,1.20115,1.26197,1.24599,0.00095215,0.00095215,0.00095215
31,32.5974,0.97532,0.79083,0.96635,0.77505,0.43798,0.54328,0.39253,1.1829,1.31261,1.22672,0.0009505,0.0009505,0.0009505
32,33.6219,0.90912,0.77828,0.94938,0.63524,0.49979,0.53294,0.3845,1.17666,1.32737,1.21775,0.00094885,0.00094885,0.00094885
33,34.6279,0.95359,0.79703,0.94963,0.95211,0.45169,0.51683,0.38088,1.14828,1.30006,1.20267,0.0009472,0.0009472,0.0009472
34,35.5931,0.95309,0.77786,0.94878,0.67617,0.48773,0.51523,0.38057,1.15419,1.28164,1.20138,0.00094555,0.00094555,0.00094555
35,36.5961,0.93141,0.74954,0.92259,0.66609,0.49579,0.52749,0.38583,1.16677,1.22498,1.20965,0.0009439,0.0009439,0.0009439
36,37.5826,0.9162,0.70555,0.94868,0.90917,0.49133,0.52921,0.39763,1.15739,1.15454,1.21969,0.00094225,0.00094225,0.00094225
37,38.6126,0.84785,0.67856,0.92515,0.92447,0.49184,0.53696,0.39507,1.14768,1.12179,1.23383,0.0009406,0.0009406,0.0009406
38,39.5916,0.90362,0.71651,0.93804,0.94429,0.47734,0.53721,0.38454,1.1576,1.14521,1.23061,0.00093895,0.00093895,0.00093895
39,40.5886,0.87594,0.69858,0.93204,0.79734,0.48146,0.52003,0.36718,1.15119,1.22134,1.22607,0.0009373,0.0009373,0.0009373
40,41.5791,0.92866,0.71903,0.90997,0.81239,0.49406,0.51933,0.36942,1.14168,1.2044,1.22341,0.00093565,0.00093565,0.00093565
41,42.5959,0.86797,0.68068,0.92212,0.84721,0.48715,0.53171,0.38105,1.14384,1.19437,1.23692,0.000934,0.000934,0.000934
42,43.5864,0.9369,0.80688,0.95018,0.8781,0.4872,0.52845,0.38294,1.1475,1.19339,1.2321,0.00093235,0.00093235,0.00093235
43,44.6106,0.8671,0.70517,0.92962,0.66366,0.48224,0.52496,0.38071,1.13392,1.25704,1.20774,0.0009307,0.0009307,0.0009307
44,45.6278,0.87028,0.75183,0.92366,0.92694,0.44515,0.53005,0.39037,1.13185,1.32119,1.1932,0.00092905,0.00092905,0.00092905
45,46.6579,0.81174,0.66597,0.91625,0.94578,0.44388,0.53348,0.39432,1.15148,1.29775,1.19257,0.0009274,0.0009274,0.0009274
46,47.7828,0.86475,0.71515,0.93094,0.88532,0.45207,0.53903,0.39507,1.17198,1.30781,1.20371,0.00092575,0.00092575,0.00092575
47,48.9037,0.90712,0.68604,0.93916,0.93109,0.4351,0.52161,0.39032,1.17324,1.45443,1.21272,0.0009241,0.0009241,0.0009241
48,49.9805,0.88583,0.68938,0.93762,0.72655,0.42329,0.52279,0.3878,1.18289,1.46209,1.23084,0.00092245,0.00092245,0.00092245
49,51.056,0.83806,0.63608,0.90792,0.70957,0.44018,0.5166,0.38413,1.14373,1.45743,1.21449,0.0009208,0.0009208,0.0009208
50,52.0793,0.90774,0.68586,0.91349,0.56763,0.50211,0.51326,0.38316,1.1345,1.43848,1.2048,0.00091915,0.00091915,0.00091915
51,53.1215,0.89526,0.66011,0.91209,0.63464,0.46367,0.50368,0.37244,1.1598,1.39386,1.20325,0.0009175,0.0009175,0.0009175
52,54.2037,0.85423,0.68149,0.9057,0.61624,0.47107,0.49601,0.36502,1.18324,1.36015,1.21062,0.00091585,0.00091585,0.00091585
53,55.3037,0.90255,0.65694,0.91292,0.60606,0.47571,0.50801,0.37918,1.1492,1.32353,1.18539,0.0009142,0.0009142,0.0009142
54,56.3254,0.76001,0.64353,0.94671,0.59162,0.4959,0.51301,0.39086,1.13321,1.32076,1.16952,0.00091255,0.00091255,0.00091255
55,57.4268,0.90319,0.6544,0.91333,0.93678,0.43939,0.51256,0.38851,1.14035,1.32109,1.17146,0.0009109,0.0009109,0.0009109
56,58.5163,0.8417,0.63751,0.91886,0.94778,0.41752,0.50507,0.38836,1.13768,1.34099,1.18392,0.00090925,0.00090925,0.00090925
57,59.6949,0.79487,0.63855,0.91591,0.93634,0.43412,0.50216,0.39078,1.11699,1.30482,1.18329,0.0009076,0.0009076,0.0009076
58,60.7376,0.80886,0.62963,0.91101,0.95144,0.42503,0.50337,0.3957,1.11708,1.34722,1.17189,0.00090595,0.00090595,0.00090595
59,61.7654,0.86466,0.61777,0.9049,0.95044,0.43858,0.50487,0.39063,1.12768,1.36949,1.18275,0.0009043,0.0009043,0.0009043
60,62.7612,0.83774,0.60619,0.90938,0.93296,0.44128,0.50045,0.38741,1.14107,1.37385,1.18959,0.00090265,0.00090265,0.00090265
61,63.7928,0.8868,0.63266,0.92864,0.8392,0.4754,0.49499,0.38413,1.1258,1.38189,1.16225,0.000901,0.000901,0.000901
62,64.8099,0.87049,0.63609,0.9316,0.85767,0.44859,0.5032,0.39328,1.13153,1.39164,1.17235,0.00089935,0.00089935,0.00089935
63,65.8491,0.86473,0.61044,0.89542,0.95224,0.41358,0.51903,0.38764,1.14006,1.39479,1.18681,0.0008977,0.0008977,0.0008977
64,66.8457,0.8584,0.62694,0.89797,0.91418,0.42074,0.51216,0.3847,1.17308,1.38168,1.22139,0.00089605,0.00089605,0.00089605
65,67.8735,0.76941,0.57634,0.88903,0.92507,0.39809,0.5056,0.3834,1.21907,1.30672,1.26036,0.0008944,0.0008944,0.0008944
66,68.8736,0.80722,0.58866,0.89603,0.92718,0.39788,0.50797,0.39541,1.19859,1.29281,1.2553,0.00089275,0.00089275,0.00089275
67,69.8891,0.79282,0.57613,0.88336,0.88062,0.40733,0.51447,0.38516,1.19687,1.35315,1.23285,0.0008911,0.0008911,0.0008911
68,70.9099,0.83593,0.58826,0.89416,0.92662,0.3913,0.50552,0.38484,1.18455,1.33049,1.21388,0.00088945,0.00088945,0.00088945
69,71.9477,0.80537,0.56791,0.89456,0.62149,0.50629,0.55027,0.40761,1.14361,1.24827,1.17728,0.0008878,0.0008878,0.0008878
70,73.0521,0.75208,0.53126,0.8945,0.57939,0.52904,0.56035,0.42211,1.11089,1.22644,1.16405,0.00088615,0.00088615,0.00088615
71,74.1527,0.81229,0.58017,0.86865,0.62691,0.54288,0.57778,0.43219,1.08464,1.17728,1.15373,0.0008845,0.0008845,0.0008845
72,75.1979,0.81049,0.57514,0.89744,0.62977,0.54786,0.57515,0.43554,1.08822,1.19033,1.15482,0.00088285,0.00088285,0.00088285
73,76.2414,0.74954,0.57571,0.90325,0.68653,0.49092,0.55626,0.42405,1.09523,1.25325,1.16639,0.0008812,0.0008812,0.0008812
74,77.2626,0.78633,0.59284,0.89333,0.70418,0.48268,0.55898,0.42835,1.08222,1.27369,1.15982,0.00087955,0.00087955,0.00087955
75,78.2801,0.80075,0.58091,0.90203,0.62949,0.49859,0.55947,0.42229,1.08631,1.33176,1.16431,0.0008779,0.0008779,0.0008779
76,79.3255,0.76264,0.56419,0.89356,0.6135,0.48284,0.54569,0.41752,1.10036,1.38218,1.1741,0.00087625,0.00087625,0.00087625
77,80.3796,0.75324,0.5338,0.86594,0.81468,0.47508,0.54753,0.41418,1.13147,1.45432,1.17679,0.0008746,0.0008746,0.0008746
78,81.4042,0.7557,0.52367,0.87434,0.84759,0.48334,0.54577,0.41582,1.11987,1.43796,1.16553,0.00087295,0.00087295,0.00087295
79,82.4448,0.71211,0.53116,0.88405,0.67806,0.49454,0.56091,0.41661,1.11944,1.38172,1.17059,0.0008713,0.0008713,0.0008713
80,83.4955,0.80949,0.53168,0.88013,0.87801,0.4833,0.55983,0.4225,1.12624,1.34764,1.18131,0.00086965,0.00086965,0.00086965
81,84.5475,0.7571,0.54163,0.87638,0.84137,0.4747,0.55064,0.41105,1.14368,1.32229,1.18568,0.000868,0.000868,0.000868
82,85.5717,0.78878,0.55525,0.90132,0.93965,0.44961,0.55264,0.41436,1.17295,1.30402,1.20287,0.00086635,0.00086635,0.00086635
83,86.6285,0.80471,0.57038,0.87584,0.93775,0.45396,0.54816,0.40823,1.1738,1.2745,1.2082,0.0008647,0.0008647,0.0008647
84,87.6598,0.79039,0.55111,0.88177,0.94313,0.45231,0.54606,0.40373,1.17693,1.26867,1.20469,0.00086305,0.00086305,0.00086305
85,88.7274,0.74773,0.5406,0.88378,0.74107,0.44304,0.52976,0.39819,1.16411,1.29618,1.19731,0.0008614,0.0008614,0.0008614
86,89.7693,0.8149,0.56498,0.88618,0.74132,0.44084,0.52889,0.40484,1.15126,1.32854,1.19603,0.00085975,0.00085975,0.00085975
87,90.9337,0.80769,0.58094,0.89191,0.72679,0.44032,0.52885,0.40635,1.17099,1.36383,1.21466,0.0008581,0.0008581,0.0008581
