epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87864,1.3727,2.27239,1.40069,0.39648,0.35253,0.34743,0.22199,1.07899,2.74087,1.25444,9.999e-05,9.999e-05,9.999e-05
2,3.38962,1.22519,1.62724,1.233,0.41064,0.34197,0.38695,0.25226,1.09112,2.67111,1.2262,0.000208725,0.000208725,0.000208725
3,4.79178,1.08632,1.54345,1.14909,0.48843,0.32538,0.33963,0.228,1.12448,2.25629,1.2113,0.0003171,0.0003171,0.0003171
4,6.14042,1.07532,1.2153,1.07035,0.83255,0.24199,0.32261,0.22953,1.10192,2.01108,1.18471,0.000425115,0.000425115,0.000425115
5,7.47989,1.0295,1.13442,1.0814,0.55177,0.34397,0.36141,0.23139,1.1359,1.93139,1.17807,0.00053277,0.00053277,0.00053277
6,8.73055,0.95565,1.0371,1.04554,0.38868,0.41648,0.39071,0.27714,1.16366,2.08292,1.19645,0.000640066,0.000640066,0.000640066
7,10.0364,1.23816,1.40552,1.30294,0.4278,0.31188,0.29135,0.20178,1.18017,2.64791,1.19616,0.000747001,0.000747001,0.000747001
8,11.2714,1.07875,1.14347,1.14465,0.32961,0.33473,0.20893,0.15874,1.28972,3.35661,1.28247,0.000853576,0.000853576,0.000853576
9,12.4929,1.16851,1.23385,1.19884,0.40678,0.27793,0.21816,0.14956,1.3768,3.06147,1.35484,0.000897001,0.000897001,0.000897001
10,13.7377,1.05181,1.06759,1.15306,0.49791,0.29072,0.2832,0.17034,1.4222,2.98384,1.37188,0.000895501,0.000895501,0.000895501
11,14.9392,1.067,1.031,1.13438,0.54123,0.28525,0.26621,0.17763,1.43316,3.05035,1.39489,0.000894001,0.000894001,0.000894001
12,16.1452,1.08433,0.9775,1.12849,0.43178,0.19064,0.2596,0.18151,1.4305,2.90569,1.37907,0.000892502,0.000892502,0.000892502
13,17.3327,1.19116,1.18125,1.1998,0.52953,0.20499,0.27651,0.19509,1.4202,2.69013,1.34606,0.000891002,0.000891002,0.000891002
14,18.4933,1.118,1.08274,1.21254,0.49763,0.22829,0.27195,0.19177,1.41344,2.74647,1.34355,0.000889502,0.000889502,0.000889502
15,19.7008,0.98251,0.99622,1.10076,0.78419,0.15158,0.23004,0.16997,1.4955,2.91067,1.41226,0.000888002,0.000888002,0.000888002
16,20.8647,1.12468,1.04218,1.15283,0.73371,0.15538,0.21718,0.1533,1.5287,2.91855,1.49072,0.000886502,0.000886502,0.000886502
