epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44261,1.17882,2.0382,1.26631,0.84,0.18025,0.34542,0.23927,1.38921,2.6916,1.40993,0.00016362,0.00016362,0.00016362
2,10.5852,1.07423,1.43752,1.23133,0.85597,0.33207,0.39162,0.26667,1.39279,2.15927,1.47878,0.000335775,0.000335775,0.000335775
3,15.0101,0.94584,1.10149,1.12003,0.86494,0.30117,0.36781,0.26116,1.37834,1.83794,1.48007,0.00050736,0.00050736,0.00050736
4,19.2108,1.07005,1.23617,1.21942,0.70114,0.36392,0.43181,0.28629,1.39929,1.82462,1.47479,0.000678375,0.000678375,0.000678375
5,23.8354,1.04655,1.12056,1.18797,0.90709,0.32133,0.53272,0.34536,1.42378,1.88407,1.47784,0.000848821,0.000848821,0.000848821
6,28.5534,1.05086,1.12964,1.1758,0.70149,0.33353,0.44518,0.30497,1.32869,1.93714,1.35222,0.000901501,0.000901501,0.000901501
7,33.6045,1.01085,1.12021,1.19958,0.73146,0.40597,0.41546,0.28052,1.35935,2.02965,1.36207,0.000900001,0.000900001,0.000900001
8,38.296,1.02863,1.10087,1.17544,0.68869,0.37505,0.38021,0.26927,1.35336,2.08534,1.35152,0.000898501,0.000898501,0.000898501
9,42.8885,0.96574,1.0225,1.18768,0.66881,0.36762,0.40421,0.28808,1.35213,1.95088,1.3529,0.000897001,0.000897001,0.000897001
10,47.734,0.96707,1.02218,1.13331,0.48363,0.39384,0.39993,0.2914,1.36494,1.95324,1.36215,0.000895501,0.000895501,0.000895501
11,53.0005,0.92211,0.96277,1.10305,0.49054,0.39881,0.38834,0.27083,1.40685,1.98457,1.38007,0.000894001,0.000894001,0.000894001
12,58.411,0.97475,0.96686,1.13151,0.82683,0.36648,0.42812,0.29028,1.40077,2.03015,1.36135,0.000892502,0.000892502,0.000892502
13,63.2601,0.92454,0.8749,1.07066,0.49921,0.43193,0.43058,0.28854,1.38386,2.07369,1.39124,0.000891002,0.000891002,0.000891002
14,68.2392,0.93477,0.8746,1.06578,0.74699,0.3976,0.45445,0.3015,1.34994,2.08547,1.35249,0.000889502,0.000889502,0.000889502
15,72.9337,0.93651,0.87593,1.06762,0.83425,0.3944,0.47914,0.31275,1.43531,2.15487,1.3837,0.000888002,0.000888002,0.000888002
